SCRAPEDOMAIN,TIMESTAMP,SEARCHTERM,POSITION,LINK,TITLE,SNIPPET,IPLOCATION,TYPWEBSITE
yandex.com,2019-11-19_11:49,Deutschland,1,amalgama-lab.com›songs…rammstein/deutschland.html,Перевод песен Rammstein: перевод песни Deutschland...,Перевод текста песни Deutschland исполнителя (группы) Rammstein. ... Главная Переводы песен R Rammstein Deutschland. 6 7 8 9. Читать ещё,RU,unknown
yandex.com,2019-11-19_11:49,Deutschland,2,ru.wikipedia.org›Deutschland (песня),Deutschland (песня) — Википедия,«Deutschland» (с нем. — «Германия») — двадцать шестой сингл немецкой индастриал-метал группы Rammstein. Песня была выпущена 28 марта 2019 года в качестве ведущего сингла с седьмого студийного альбома группы. Читать ещё,US,encyclopedia
yandex.com,2019-11-19_11:49,Deutschland,3,music.yandex.ru›track/51422266?lang=ru,DEUTSCHLAND — Rammstein. Слушать онлайн на...,"lieben und verdammen Deutschland, dein Atem kalt So jung, und doch so alt Deutschland, deine Liebe Ist Fluch und Segen Deutschland, meine Liebe Kann ich dir nicht geben Deutschland! Du Ich Wir Ihr Du (übermächtig, überflüssig) Ich... Читать ещё",RU,other
yandex.com,2019-11-19_11:49,Deutschland,4,youtube.com›watch?v=NeQM1c-XCDc,Rammstein - Deutschland (Official Video) - YouTube,#Rammstein #Deutschland #duhastvielgeweint. Rammstein - Deutschland (Official Video).,US,personal
yandex.com,2019-11-19_11:49,Deutschland,5,perevod-pesen.ru›rammstein-deutschland/,"Rammstein - Deutschland перевод песни, текст и слова","Перевод песни Rammstein - Deutschland с немецкого на русский язык, слова и текст песни Rammstein - Deutschland.",RU,unknown
yandex.com,2019-11-19_11:49,Deutschland,6,de.lyrsense.com›rammstein/deutschland_r,Deutschland - Rammstein (Раммштайн) | Текст и перевод...,"Перевод песни Deutschland — Rammstein Рейтинг: 5 / 5 710 мнений. ... Deutschland! Mein Herz in Flammen, Will dich lieben und verdammen. Читать ещё",RU,unknown
yandex.com,2019-11-19_11:49,Deutschland,7,de-online.ru›perevod_pesni_razbor…deutschland,Перевод песни и разбор клипа Rammstein «Deutschland»,"Знакомимся с синглом «Deutschland». Если вы посмотрели клип всего один раз, то возможно, просто ощутили удивительный подъём от насыщенности и... Читать ещё",RU,unknown
yandex.com,2019-11-19_11:49,Deutschland,8,pikabu.ru›story/rammstein_deutschland_germaniya…s…,"Rammstein Deutschland, Германия прощается с прошлым...","Пост пикабушника cherep1113 с тегами Баян, Rammstein, Deutschland, Вопрос, Клип, Видео. Есть что рассказать? Ежедневно Пикабу посещают более 2 млн человек. Читать ещё",DE,personal
yandex.com,2019-11-19_11:49,Deutschland,9,deutschland.de›ru,deutschland.de - Ваше окно в Германию,"Понять Германию: deutschland.de объясняет политику, экономику, социальные отношения, культуру Германии, представляет глобальные партнерства в... Читать ещё",DE,unknown
yandex.com,2019-11-19_11:49,Deutschland,10,hitmo.me›song/63121880,Deutschland (Rammstein) - скачать в Mp3 и слушать...,Rammstein - Deutschland. Deutschland. Rammstein. 05:23. Читать ещё,NL,unknown
yandex.com,2019-11-19_11:49,Test,1,speedtest.net,Speedtest by Ookla - The Global Broadband Speed Test,Test your Internet connection bandwidth to locations around the world with this interactive broadband speed test from Ookla.,US,unknown
yandex.com,2019-11-19_11:49,Test,2,en.wikipedia.org›Test,Test - Wikipedia,"Test(s) or TEST may refer to: Test (assessment), an assessment intended to measure the respondents' knowledge or other abilities. Test (group), a jazz collective. Tests (album), a 1998 album by The Microphones. Test (2013 film), an American film...
",US,encyclopedia
yandex.com,2019-11-19_11:49,Test,3,test.tankionline.com,Tanki Online Test Server,"Entering a closed test server is only possible with an invite code. ... Sometimes, when there is need for a mass test, servers are opened up to all players.",NL,unknown
yandex.com,2019-11-19_11:49,Test,4,ustaliy.ru›testi/,"Тесты онлайн: самые лучшие, интересные и популярные","Лучшие и популярные тесты онлайн для проверки себя. Пройди тест - испытай мощь своего разума. Я знаю, что у тебя точно все получится.
",RU,unknown
yandex.com,2019-11-19_11:49,Test,5,123test.com›all-tests/,All online tests available at 123test.com,"Take an IQ test, career choice test or personality test online. Find serious answers for career assessment and personal development.",US,unknown
yandex.com,2019-11-19_11:49,Test,6,en.wiktionary.org›wiki/test,test - Wiktionary,"(South African) IPA(key): /test/. From Middle English test, teste, borrowed from Old French test, teste (“an earthen vessel, especially a pot in which metals were tried”), from Latin testum (“the lid of an earthen vessel, an earthen vessel, an earthe...
",US,encyclopedia
yandex.com,2019-11-19_11:49,Test,7,testmy.net,TestMy.net Broadband Internet Speed Test,Accurately test your Internet connection speed with this powerful broadband speed test. Improve your bandwidth speed with the truth.,US,unknown
